partition,start,end_exclusive,terminal_value,net_return,event_count,strategy
development_pre_2024,2021-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5383.4808259586798,,0,cash_reserve
validation_2024,2024-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,7182.8908554570962,0.33424657534244684,0,cash_reserve
holdout_2025_onward,2025-01-01 00:00:00+00:00,,9999.9999999996999,0.39219712525665718,0,cash_reserve
development_pre_2024,2021-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,7452.1442256196551,,1095,daily_btc_dca
validation_2024,2024-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,19166.501443967383,1.5603397916890667,366,daily_btc_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,,15105.446726445458,-0.21877170337972163,573,daily_btc_dca
development_pre_2024,2021-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,6423.6110506774276,,1095,daily_eth_dca
validation_2024,2024-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,11422.356743557111,0.76761709484307628,366,daily_eth_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,,8602.237925662228,-0.25269793345506708,573,daily_eth_dca
development_pre_2024,2021-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,23392.626068076097,,1095,daily_sol_dca
validation_2024,2024-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,45856.053301614273,0.95566390209830709,366,daily_sol_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,,19664.587722424145,-0.57836101409638974,573,daily_sol_dca
development_pre_2024,2021-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,6242.8359005888069,,1095,daily_xrp_dca
validation_2024,2024-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,27364.374996007005,3.3790563247675411,366,daily_xrp_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,,15583.786046902458,-0.43779350479238099,573,daily_xrp_dca
development_pre_2024,2021-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,9052.9065286172809,,1095,daily_equal_weight_universe_dca
validation_2024,2024-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,20616.632745978517,1.2647453946015066,366,daily_equal_weight_universe_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,,10757.068063016284,-0.48525440586730462,573,daily_equal_weight_universe_dca
development_pre_2024,2021-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,8900.2365102985623,,156,weekly_equal_weight_universe_dca
validation_2024,2024-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,20297.28758448904,1.2678883953272555,53,weekly_equal_weight_universe_dca
holdout_2025_onward,2025-01-01 00:00:00+00:00,,10647.429851610284,-0.48246455348664052,82,weekly_equal_weight_universe_dca
development_pre_2024,2021-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5732.4936589228882,,82,always_long_equal_weight_schedule
validation_2024,2024-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,6899.3436034238875,0.19638133821175852,21,always_long_equal_weight_schedule
holdout_2025_onward,2025-01-01 00:00:00+00:00,,8243.1187616501593,0.19476855125165904,10,always_long_equal_weight_schedule
development_pre_2024,2021-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,4948.0851622228038,,82,random_asset_schedule_baseline
validation_2024,2024-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,6276.1457399902392,0.2608620223547593,21,random_asset_schedule_baseline
holdout_2025_onward,2025-01-01 00:00:00+00:00,,7426.7438360852548,0.18332877274720594,10,random_asset_schedule_baseline
development_pre_2024,2021-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,4544.8823077265324,,82,negative_funding_rebound_panel
validation_2024,2024-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,5349.1314912247253,0.16722399213420314,21,negative_funding_rebound_panel
holdout_2025_onward,2025-01-01 00:00:00+00:00,,6747.3436726515647,0.26139050492974669,10,negative_funding_rebound_panel
